Word,Sentiment,Sentiment Confidence
customer,neutral,0.01833734
service,positive,0.0005687736
without,negative,0.014248587
anyone,positive,0.0037291348
answer,negative,-0.0051003043
more,negative,0.0026869122
than,positive,0.0060713477
ridiculous,neutral,0.001994064
hope,neutral,0.009182062
apart,positive,0.01670432
of,positive,-0.0064796554
team,negative,0.020096023
with,neutral,0.008889234
job,negative,0.006921852
opening,negative,0.015452482
may,neutral,0.015671607
dislike,negative,0.008172354
delay,negative,0.018776089
but,neutral,0.0037854407
pay,neutral,-0.002574481
an,neutral,0.0052467473
agreement,negative,-0.0021276362
that,negative,0.013011552
destination,neutral,0.010620046
certain,neutral,0.019502215
send,positive,0.015023679
email,positive,0.016243141
relation,positive,0.013341311
call,negative,0.016323596
tomorrow,positive,0.0007993188
ok,neutral,0.00854175
dm,negative,0.019930307
info,positive,0.0054468643
about,neutral,0.011992283
3,positive,0.019628786
ago,positive,0.020722445
out,negative,0.012555797
if,negative,0.018669855
hotel,negative,-0.0077598663
here,positive,-0.00021886453
or,neutral,0.015346032
elsewhere,negative,0.021213371
first,negative,0.0019660778
base,negative,0.012099907
already,positive,0.019202307
like,negative,0.021126442
style,negative,0.008049563
tick,negative,0.017545797
tock,positive,0.019643776
rapidly,positive,0.019147687
approach,neutral,0.012804642
dream,positive,0.010478076
departure,neutral,0.019210037
145pm,negative,-0.0130599905
fantasy,neutral,0.010306444
no,neutral,-0.0047466606
worry,negative,0.01040085
thru,positive,0.017652612
eventually,positive,0.016236853
curious,neutral,0.004012311
good,negative,0.0048966072
luck,positive,0.016238365
deal,positive,-0.001944067
weather,negative,0.020559479
happen,neutral,0.010439161
reagan,negative,0.0070682187
airport,positive,0.019999165
dca,positive,0.013770595
long,neutral,0.004924353
line,negative,0.01830789
four,positive,0.002204638
people,negative,-0.00041287206
checkin,negative,0.018226411
unhappy,neutral,0.008382801
thank,positive,0.0041882787
let,positive,-0.005391555
reuse,positive,0.009904522
ticket,negative,0.009134617
thus,neutral,-0.0015346315
book,positive,0.016214386
vacation,negative,0.014331251
delta,positive,0.020652536
american,neutral,0.005530987
automate,negative,0.010948509
message,neutral,0.014607813
give,neutral,-0.0054547694
merger,negative,0.012834273
user,negative,0.013660792
another,positive,0.019593894
know,positive,0.0056214724
avoid,positive,0.020449497
receive,neutral,0.0017252192
bad,neutral,0.016789619
end,neutral,0.0042267144
up,positive,0.015480477
spend,neutral,0.019400641
several,positive,0.01908721
hundred,neutral,0.019720774
dollar,negative,-0.012618296
accommodate,neutral,0.010637835
family,neutral,0.018840391
during,negative,0.01909208
each,negative,0.0038172062
cxl,positive,0.009351937
number,negative,0.019937683
early,neutral,0.012727976
option,positive,0.018618502
vm,negative,-0.020427939
ring,positive,0.010597374
busy,neutral,0.0031156428
tone,negative,-0.009663135
say,neutral,0.020430524
so,negative,0.014138546
much,negative,0.0017255414
night,neutral,0.015524734
grinningface,positive,0.0013325401
wait,positive,0.019346531
trip,negative,0.019176904
week,negative,0.01859567
yxe,neutral,0.008949965
morning,positive,0.01734947
affect,negative,0.01941522
any,positive,0.010786127
other,negative,0.0013914406
ua6136,positive,-0.0060133766
new,neutral,0.0055203065
hey,negative,0.01136243
tell,negative,0.02023967
there,positive,0.042311177
2,neutral,0.0077000074
past,negative,0.0023298003
4,positive,0.018787872
suck,positive,-0.0019416977
robin,neutral,-0.0051124822
ewr,positive,0.01985541
premiere,positive,0.015175074
huge,negative,0.015695475
how,neutral,-0.004342992
after,positive,0.01952776
6x,positive,0.010465387
take,negative,0.015079398
tv,neutral,0.020553663
interesting,negative,-0.003282342
video,negative,0.017836597
disappoint,negative,-0.0024063718
flightled,negative,0.005281141
jfk,neutral,-0.008281014
saturday,negative,0.0096773375
once,neutral,0.010961221
lot,positive,-0.0010883827
desire,negative,0.0145927295
5141,negative,-0.001299277
short,positive,0.018440187
staffing,positive,0.0091923885
mean,positive,0.00036106072
tarmacthank,positive,7.804297e-05
business,neutral,0.019702245
as,neutral,0.0071806647
usual,neutral,0.019578163
drop,neutral,0.011459094
bully,negative,0.020809937
mentality,negative,0.0120798685
foster,positive,0.021344632
inspiration,negative,0.00085464865
great,neutral,0.0020595603
employeerelation,positive,0.006219417
rep,positive,0.012993939
would,negative,0.014251966
rebook,neutral,0.020728707
such,negative,0.0081220195
waste,negative,0.013561469
poor,positive,0.01668378
communication,neutral,0.005783109
623,negative,0.0021203533
den,negative,0.007599553
phx,negative,0.016759533
attdt,positive,0.016543265
decide,positive,0.014532875
stay,positive,0.010717936
downtown,neutral,0.083800346
late,negative,-0.0034018718
entire,positive,0.0019051917
well,neutral,0.01803448
fire,positive,0.0153897405
lunch,neutral,0.020067595
by,positive,-0.006185487
otherairline,neutral,0.0074151885
plane,positive,0.015712842
grandcayman,negative,0.008301998
instruction,negative,0.020831384
weekend,positive,0.020376258
wrong,negative,0.016689386
pe,negative,0.015481498
1183,negative,0.019995086
orlando,neutral,0.021298662
child,neutral,0.0036196336
travel,positive,-0.0075305225
cross,positive,0.011151653
countryshe,neutral,0.010614857
11,negative,0.0118590295
turn,neutral,0.005712893
marchand,negative,-0.009678589
cont,positive,0.015210032
50,negative,0.010053296
stupid,neutral,0.01704786
heck,positive,0.02113282
flightn,negative,0.010385606
fend,neutral,0.010678645
flt,neutral,0.013032727
come,positive,-0.0025108047
runaround,neutral,0.021437503
hrs,neutral,0.0073192846
employee,positive,0.012026753
blame,negative,0.0041384622
previous,neutral,0.009871263
cruel,neutral,0.0087139625
why,neutral,0.014756829
post,neutral,0.021023322
personal,positive,0.011977311
damn,neutral,0.008363863
internet,negative,0.010453422
u,negative,-0.009877075
mind,negative,0.013494052
unable,positive,0.012878656
itinerary,neutral,0.017854426
ineligible,neutral,0.019567635
counter,positive,-0.0023130793
inconvenient,neutral,0.017991442
b737800w,negative,0.007893635
literally,neutral,0.020499911
small,negative,-0.0041318927
dad,neutral,0.013313729
stick,neutral,0.0152249485
tiny,positive,0.016796246
bathroom,positive,0.019882139
ad,negative,0.019105513
disspointe,negative,0.021476958
premier1k,positive,0.01605672
grandbabie,negative,0.014994834
dc,negative,0.01222425
birth,neutral,0.0050142445
reasonable,neutral,0.0021661334
fare,neutral,0.019293401
see,negative,0.011324227
’,neutral,0.013876498
until,neutral,0.020584602
615,neutral,0.017798044
kid,positive,-0.0013012402
still,positive,0.0004623551
talk,neutral,0.015698582
human,positive,0.0053598136
robotweete,positive,0.017111547
ask,positive,-0.011690159
follow,positive,0.0036270916
else,negative,0.020270891
ducttape,positive,0.017742883
ohboy,neutral,0.0074760634
shouldigetoutandpush,neutral,0.018818561
airplane,negative,0.017750464
flying,negative,0.014569849
…,neutral,0.0056209452
americanairline,neutral,0.011935636
hr,negative,0.004135303
taste,negative,0.01669674
world,positive,0.012254782
large,positive,0.008532111
heaven,neutral,0.018841181
aviation,neutral,0.017682906
3x,neutral,0.0009234436
high,positive,0.010100391
volume,positive,0.01794894
minute,positive,0.0041514356
international,positive,0.018868238
way,neutral,0.011281256
someone,negative,0.020875182
contact,negative,0.01992327
home,positive,0.02015578
mintyfresh,neutral,0.020613514
brandmance,positive,0.02019598
selfie,negative,0.016692728
love,neutral,0.02119529
cs,negative,-0.0007379912
think,negative,0.013403852
mile,neutral,-0.0009728279
repair,negative,0.0024959967
damage,positive,0.01580277
exp,neutral,0.019811362
deliver,neutral,0.0016559828
luggage,positive,0.018750489
almost,negative,-0.0060200654
two,neutral,0.01035871
day,neutral,0.017451536
priority,positive,0.01470184
baggage,negative,0.0010171104
evidently,negative,0.012108047
last,positive,0.017240923
error,neutral,0.006316295
could,negative,0.0068320837
process,positive,0.020243987
request,positive,0.01606255
step,neutral,0.015092436
selection,positive,0.015934296
leg,neutral,0.08336062
agent,negative,0.014166124
unaware,neutral,0.015452214
then,negative,0.0071082376
stewardess,neutral,0.017153956
disinfectant,negative,0.014517538
wipe,negative,-0.0021156967
trash,negative,-0.004421307
hand,positive,0.012260005
badservice,neutral,0.014520548
painful,negative,0.019374132
really,neutral,0.018838484
25,negative,0.017641537
free,positive,0.019447923
wifi,neutral,0.009225339
television,negative,0.014813118
staticy,neutral,0.007236138
ithelpsabit,neutral,-0.004843518
thnx,negative,0.018485118
speak,neutral,-0.0015500709
live,negative,0.020008475
person,positive,-0.0069914684
recording,neutral,0.017272573
sit,negative,0.016088892
yest,negative,0.01671791
provide,negative,0.014038548
complimentary,positive,0.018064406
accommodation,positive,0.014027763
since,neutral,0.016304653
overnight,negative,0.020329777
30,negative,0.019648537
min,neutral,0.012946188
watch,negative,0.012081046
thing,positive,0.014715858
trade,neutral,0.020346303
both,neutral,0.0044860393
130,negative,-0.013929693
awesome,positive,0.020344093
sunkist,positive,-0.010109056
safety,negative,0.021095015
extend,positive,0.0046112873
property,positive,0.02107348
totally,negative,0.017602365
nuts,negative,0.017022908
rectify,positive,-0.0027435143
situation,positive,0.014742762
guy,neutral,0.014229972
quiet,negative,0.005137898
feedback,positive,0.021322742
respond,neutral,-0.0028397758
complaint,positive,0.0011240523
ideasshe,positive,0.007774804
todayat,positive,0.01106067
petition,neutral,-0.00937487
faa,negative,0.008643901
regard,positive,0.018659547
silly,neutral,0.008591715
24,negative,0.0016733762
name,neutral,0.039777182
rule,negative,0.00895793
also,positive,0.018146437
find,neutral,0.016757585
tweet,positive,0.009744067
350,negative,0.0037750471
est,positive,-0.013543566
response,negative,0.011898227
9,negative,0.01763435
8,negative,0.016210914
choppy,negative,0.015406419
feed,negative,0.0135333985
whiplash,positive,0.01784512
americanairlinesfail,neutral,0.019941304
iwantmymoneyback,positive,-0.0010520462
put,positive,0.015975483
sun,positive,0.008484218
carry,neutral,0.0020244084
rt,positive,0.020812828
right,neutral,-0.002354309
0,negative,0.011505406
heat,positive,0.0035864674
wave,positive,0.020054035
enjoy,negative,0.015373606
warmth,positive,0.01738745
bring,negative,0.020620413
jj,positive,0.021498572
because,negative,0.0030760337
dallas,negative,0.010347631
alist,positive,0.009739555
preferred,negative,0.01816728
15,positive,0.02111445
hang,negative,0.01119351
feel,neutral,0.012230013
alistey,neutral,-7.588416e-05
soon,negative,-0.008927816
all,positive,0.011580605
refund,negative,0.009000575
reward,positive,-0.00078438595
point,neutral,0.00489212
use,neutral,0.017354887
purchase,neutral,0.014096912
refuse,positive,-0.0011260174
which,negative,0.01740314
maintenance,positive,0.01703776
issue,negative,0.0024925806
undetermined,neutral,0.01669459
amount,negative,0.01902783
even,positive,0.016028617
arrive,positive,0.015689883
understand,positive,0.00069044717
premium,positive,0.0068257786
flighted,negative,0.008075338
available,positive,0.01776034
part,positive,0.014399748
hear,positive,0.012954686
voucher,neutral,0.015985996
bgr,negative,0.021223515
seem,negative,0.021511704
money,positive,0.016487759
open,negative,0.012048267
desirable,positive,0.021341003
gate,negative,0.018844351
1156,neutral,0.016274929
sf,positive,0.005418772
60,neutral,0.011570133
second,positive,0.005646905
mom,positive,0.00054701045
place,negative,-0.001376098
yesterday,negative,0.017034508
aa,neutral,0.01941891
fill,positive,0.007891895
form,negative,-0.00688863
twice,negative,0.020380054
lost,neutral,0.0050832294
item,neutral,-0.000929147
code,positive,-0.011501368
verify,positive,0.017048024
unload,negative,0.016993567
below,negative,0.014886972
freeze,positive,0.007355042
witho,positive,-0.006560161
cold,positive,0.010013137
clothe,positive,0.0035954025
952,positive,0.01896803
las,neutral,0.019150272
vegas,neutral,0.020593543
540pm,negative,0.014118668
chimid,negative,0.020908076
1100,positive,0.008751972
pm,neutral,0.03208922
undignified,neutral,0.00967286
behavior,neutral,0.020689622
apology,positive,0.005497502
enough,positive,0.0063331667
freedrinkcoupon,neutral,0.011130162
tremendous,positive,0.010229286
recommend,positive,0.010577772
cb,negative,0.017700803
thx,neutral,0.003621228
social,positive,0.016694274
medium,positive,0.012025867
45,neutral,0.015480861
36min,neutral,0.019858755
countingphoto,neutral,0.020825345
flattering,negative,0.014666505
thankful,positive,0.02098003
orf,negative,0.0141002685
crew,positive,0.011551451
ground,negative,0.0016397741
air,negative,0.015868764
sick,neutral,0.0057625864
ceo,positive,0.013500091
seek,positive,0.007060796
balance,positive,0.009638473
passenger,neutral,0.0025847442
wall,negative,0.013235893
weyburn,negative,0.008657817
review,neutral,0.018030103
instead,positive,0.012573127
inaccurate,negative,0.016191103
5,negative,0.010077864
plan,neutral,0.018789247
alone,positive,0.013424698
nowhere,positive,0.018969145
count,positive,0.0073493533
global,neutral,0.0072440933
servicessomething,negative,0.02020038
website,negative,0.015142344
complete,neutral,0.012515202
safari,neutral,0.0012096874
buy,negative,0.013135955
round,neutral,0.009129943
chicago,neutral,0.010672111
agotoday,negative,0.009317795
same,negative,0.008860616
half,negative,0.0086382385
discount,positive,0.013561364
currently,negative,0.008758126
board,negative,0.008745283
terrible,negative,0.021488063
staff,negative,0.017288141
rude,negative,0.009247186
expensive,positive,0.006374739
throw,negative,0.004881609
around,negative,0.011914685
etc,positive,0.020391606
veer,negative,0.025135726
off,negative,0.01942049
runway,negative,0.015982445
icy,neutral,0.016061947
must,neutral,0.0030581336
bc,negative,0.0073551703
modification,negative,0.0061446
prefer,positive,0.012145072
everyone,neutral,0.014345132
logo,neutral,0.021285344
look,neutral,0.01955267
amazing,negative,0.0038341787
addition,neutral,0.019561343
either,negative,0.01947955
inbox,neutral,0.016762462
junkspam,neutral,0.014327705
jackson,negative,0.012650885
ms,negative,0.0022950284
miss,neutral,0.02053295
terribly,negative,0.01578952
these,positive,0.0038763937
horrible,negative,0.018099211
nvm,positive,4.993379e-05
connection,positive,0.016515683
quick,neutral,0.018982802
715,neutral,0.00877317
phl,neutral,0.02009423
before,negative,0.016250301
115,neutral,0.009436376
waitingagain,neutral,0.0051102657
appreciate,negative,0.012584843
sentiment,positive,0.01253416
able,negative,0.010766618
groundstill,positive,0.021503609
captain,negative,0.008805573
6232,positive,0.012332201
single,neutral,0.018445466
handedly,positive,0.008962562
ruin,neutral,0.007317802
piece,negative,0.018257707
shit,neutral,0.017962795
unitedsucks,neutral,0.017087627
813,positive,-0.0065434594
clt,negative,0.02071179
stuck,negative,0.009807881
waiting,neutral,0.004635887
atc,negative,0.015164986
cmon,positive,0.00022305548
826,negative,0.0073642395
mbj,positive,-0.0027382672
816,neutral,0.016118988
special,neutral,0.008862186
assistance,positive,0.0026982874
with2,neutral,-0.003936792
infant,positive,0.016509503
boarding,positive,0.011444531
okay,neutral,0.013888486
update,neutral,0.0024502743
friend,neutral,0.021109428
lucky,negative,-0.008016683
destinationdragon,neutral,0.02031907
birthday,positive,0.011781447
fan,negative,-0.00808339
year,negative,-0.00244754
pilot,negative,0.009654194
ord,negative,0.012619715
earth,neutral,0.009470148
sense,positive,0.014130257
letter,negative,-0.0075377394
sure,neutral,-0.00308951
twitter,negative,0.018247232
handle,positive,0.016979285
address,negative,0.011333004
unbelieavle,negative,0.015047796
unaccpetable,negative,0.0074239746
big,positive,0.005237803
should,neutral,0.004005771
failback,neutral,0.011174224
center,negative,0.005056372
shame,negative,0.014023032
flex,negative,0.02004226
transfer,positive,0.020040862
from,positive,0.016554873
neurosurgery,negative,0.0187072
icu,neutral,0.009196205
4567,positive,-0.005428532
unhelpful,positive,-0.01103176
bingo,neutral,0.020901363
southwestair,positive,0.019561056
attention,neutral,-0.00870217
happy,positive,0.015607998
reach,positive,0.01565655
noah,positive,0.009757433
mr,negative,0.00567727
ten,positive,0.01511791
morninghow,positive,0.017344095
many,neutral,0.015173603
meeting,neutral,0.005143186
tonight,neutral,0.021134537
atx,negative,0.011405803
start,negative,0.02009974
3xweekly,negative,0.01929519
e190,negative,0.0029664505
washington,neutral,0.01548215
nantucket,negative,0.018568382
between,neutral,-0.003811594
19jun6sep,positive,0.018525496
avgeek,neutral,0.01187247
highlight,neutral,0.019631147
deice,neutral,0.005137313
bumper,positive,0.009919833
traffic,negative,0.016876798
taxi,negative,0.012003757
finally,negative,0.006959481
unamusedface,negative,0.018203188
1024,positive,0.019935217
into,neutral,0.020929947
chance,neutral,0.010223292
catch,neutral,0.00035871193
2238,neutral,0.015361898
boston,negative,0.016299147
run,negative,0.019272637
d6,negative,0.016410846
a15,neutral,0.021378744
2155,negative,0.020657826
e11,positive,0.0068697594
penguin,negative,0.010692101
yep,positive,0.017791249
holdup,positive,-0.0067396425
only,neutral,0.018855184
sfo,positive,0.009703416
yet,negative,0.013092428
excellence,positive,0.015593309
operational,neutral,0.008454336
efficiency,neutral,0.016043507
37,positive,0.004123455
62,positive,0.017494254
inch,negative,0.015356969
seriously,negative,0.016334418
detroit,positive,0.020745054
row,negative,0.02143655
want,positive,0.019330528
wife,neutral,0.012269136
unfortunate,neutral,0.016341511
xmas,neutral,0.01665645
gift,positive,-0.0020150468
razor,negative,0.019518133
rip,neutral,0.015593369
front,neutral,-0.0044056047
pocket,negative,0.011095319
picture,neutral,0.019405134
haydensteamboat,negative,0.007545382
hdn,negative,0.0167788
denver,neutral,-0.0007580109
rr,neutral,0.017465461
pts,negative,-0.00799871
gain,negative,0.018571753
clear,positive,0.01885958
r,positive,0.0023159925
anything,positive,0.00060392544
officer,negative,0.011421479
ua,neutral,0.021295033
1514,neutral,0.008057943
757,negative,0.011438891
prior,neutral,-0.0023050867
while,neutral,0.0023662243
cell,neutral,0.009206761
down,neutral,0.014347997
unhappycustomer,neutral,0.020717055
different,negative,0.010935299
fiasco,neutral,0.0054807346
outward,negative,0.012669925
rebooke,positive,-0.008073978
qantas,positive,0.010559656
laxsyd,neutral,0.007107135
ff,negative,0.0035973974
account,positive,0.013600152
bs,negative,-0.0020365082
noise,negative,0.016554192
norahm,neutral,0.014363114
keep,negative,0.012721367
slow,negative,-0.013199237
fault,positive,-0.0012573898
1st,negative,0.019563835
southwest,neutral,0.0072614923
mine,neutral,0.017205551
complain,neutral,0.0044016913
unfortunately,neutral,0.020240497
experience,positive,0.017771576
inpolite,negative,0.015907444
le2v9d,negative,0.019073792
pnr,neutral,0.014987711
due,negative,-0.0079037445
iatanbul,positive,0.008583114
reflight,negative,0.013540104
trueblue,negative,0.016351353
link,neutral,0.021411378
tb,negative,-0.009877691
winner,neutral,0.0028525647
announce,neutral,0.008169897
win,negative,0.007678371
bummer,positive,0.019170418
shout,positive,0.011811387
fc,neutral,-0.001165349
attendanteliz,negative,0.017130177
673,neutral,0.00500929
super,negative,0.0005227942
strong,positive,0.0049030352
crosswind,neutral,0.021188471
landing,negative,0.001754133
eliz,neutral,0.015637565
throughout,neutral,0.0034001023
recover,negative,0.0054127183
evening,positive,0.009068022
8004284322,neutral,0.021062352
dsm,neutral,-0.014000083
4473,neutral,0.014080014
load,negative,0.006313674
5th,positive,0.011807136
unserviceable,positive,-0.0011917651
cite,neutral,0.013769377
sorry,neutral,0.011347663
bother,positive,0.016886007
continue,negative,0.017236512
section,positive,0.0027607698
break,neutral,0.01976744
chrome,negative,0.008466635
wanna,negative,0.020562425
merge,negative,0.014011502
nope,negative,-0.012119943
845am,positive,0.015038077
p.m.,negative,0.01616498
believe,neutral,0.019473877
lovegratitudempower,neutral,0.011437748
werin,neutral,-0.0015647616
oscars2105,negative,0.008832533
vipswagbags,neutral,0.012305222
avalonhollywood,negative,0.005505396
oh,positive,0.012034267
1627,positive,0.019656058
dfw,negative,0.015604109
fat,negative,0.00726714
223,positive,0.006148884
86,positive,-0.0019430984
1359,neutral,0.003440218
farmy,negative,0.00060338154
oscar,positive,-0.0011928529
coverage,positive,0.02020514
whatcustomerservice,positive,0.010567136
one,positive,0.018052287
757300,negative,0.0025631338
laxwhen,negative,0.009055337
planesplane,neutral,-0.0011002887
screenslousy,positive,0.01693901
unitedfirst,negative,0.016174048
onto,neutral,-0.009747312
40,neutral,0.017564178
budget,negative,-0.0027960688
blow,negative,0.02080141
lack,positive,0.019930001
usairway,negative,0.011144292
refer,positive,0.014474679
idea,negative,0.016920734
cometoaustin,positive,0.014003411
treat,positive,0.011810515
loyal,negative,0.009268133
attackingbabymomma,neutral,0.0058563314
crazinessintherockie,positive,0.007868275
lie,positive,0.019145656
hate,positive,0.014030326
where,positive,0.010520369
sos,neutral,0.011228148
itis,neutral,0.019478463
poorcustumerservice,neutral,0.005780017
public,negative,-0.010203344
advertise,positive,0.021316014
multiple,negative,0.0072411187
honor,neutral,0.019094147
john,neutral,0.013614185
wayne,neutral,0.014100306
worstcustservice,negative,-0.012069716
contingency,negative,0.018130712
extra,neutral,0.011593785
worker,positive,0.017809149
jetblue,positive,0.015129931
fleet,neutral,0.0036663152
fleek,neutral,0.010344103
neutralfaceexpressionlessface,neutral,0.006028246
am,neutral,-0.0021388754
domestic,neutral,0.0048530996
san,neutral,0.019124769
diego,neutral,0.014055785
lly144,negative,-0.0067964187
ua1516,positive,-0.009887514
1800,positive,0.020412277
1108,neutral,0.0015765801
aka,negative,0.012912363
stuff,positive,0.0043534916
weight,negative,0.015436679
shoulder,negative,0.01884931
surgery,neutral,0.0040016677
ua1673,negative,0.004382856
suppose,positive,0.018156413
depart,positive,0.007773608
908,negative,0.0009259768
training,neutral,0.008160716
information,positive,0.001580745
ppl,negative,0.02086576
switch,positive,0.0071473587
individual,neutral,0.016057607
group,negative,0.00990285
care,neutral,0.01822615
houston,positive,0.0034206044
7,positive,0.009465439
a.m.,positive,0.0008917898
flightedstill,negative,0.019082457
badcustomerservice,positive,0.02109553
10voucherwhatajoke,negative,5.2781776e-05
competitor,positive,0.005783038
d,negative,0.01469519
mistake,positive,0.018285345
americanforlife,positive,0.017105449
somehow,positive,0.019716788
mia,neutral,0.0028083175
bump,neutral,0.018660717
12b,neutral,0.014447574
41,neutral,-0.00068686716
2312,negative,0.009943854
own,negative,0.020628124
rental,positive,0.011709578
car,negative,-0.014907416
3rd,negative,0.021002188
swa,negative,0.004321484
industry,neutral,0.01876127
always,neutral,0.0154846385
somewhere,positive,0.002085546
consistent,neutral,0.018181175
flightsdelay,positive,-0.015729498
gj,positive,0.012048144
hard,neutral,0.020676628
kate,negative,0.011518776
appleton,positive,0.015476596
professional,positive,0.019496765
cut,neutral,0.0021916982
original,neutral,0.01904554
estimate,positive,0.003958244
admit,neutral,0.020131767
app,negative,0.003684966
useful,positive,0.016016059
func,negative,0.020124096
map,negative,-0.0021285396
congrat,neutral,0.015191957
airway,neutral,0.020710692
foldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandscryingfacecryingfacecryingfacecryingfacecryingfacecryingfacecryingfacecryingfacefoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhandsfoldedhands,negative,0.0139424205
expense,negative,0.0058594234
drive,neutral,0.017686788
result,neutral,0.017651908
membership,positive,0.014370125
overhaul,neutral,0.011585355
less,neutral,0.014631014
a1,positive,0.005583614
old,positive,0.007672092
birthdate,positive,0.00719082
11132012,negative,0.018603008
language,positive,0.0007795952
us,positive,-0.0053632706
70,negative,0.01755996
latinamerican,negative,0.0015952047
solve,positive,0.010879546
20min,positive,0.011542987
steamboat,positive,0.017845795
shuttle,negative,-0.0002582781
mobile,neutral,0.016759
major,positive,0.021488734
exactly,positive,0.018369645
note,neutral,0.019338489
add,positive,0.010185402
frequent,positive,-0.0060797194
flyer,neutral,0.00844322
10,negative,0.0029695705
arrival,neutral,0.012243126
club,positive,0.020607308
east,negative,0.015829727
west,negative,0.011068128
disgusting,positive,0.010408733
americanair,negative,0.016088266
tamara,negative,0.017674215
comfortably,positive,0.01571837
can”noxtralegroom,positive,-0.003715789
nocoatcloset,negative,0.021057561
intl,positive,0.017400123
bush,negative,0.012333825
class,negative,0.014157016
inquire,positive,0.018839426
red,neutral,0.007892778
wine,positive,-0.0012335796
sauvignon,positive,0.0099907145
blanc,neutral,0.019143336
pronounce,neutral,0.013639629
describe,neutral,0.0020447765
simple,negative,-0.015392689
basic,positive,0.020692024
actually,negative,0.009479802
electronic,positive,0.012936089
land,positive,0.011097852
3hours,negative,0.0031379722
twenty,neutral,0.015566245
patience,negative,0.008827839
none,positive,-0.004194189
incompetence,neutral,-0.0011875331
jh,neutral,0.008754823
prompt,neutral,-0.0044554323
responsesme,neutral,0.015287854
coin,negative,0.013231423
unacceptable,neutral,0.013897214
auh,negative,0.021088313
iad,negative,-0.004914457
via,positive,0.005143786
etihad,negative,0.014279693
retrieve,neutral,0.0071689077
sell,negative,0.0074494127
relative,negative,0.018303957
moment,neutral,-0.0028879307
notice,neutral,0.01851882
sad,neutral,-0.0009278897
true,neutral,0.008700149
card,neutral,0.021141253
security,neutral,0.01742448
standby,negative,0.017979454
troubling,neutral,0.019840065
flightr,negative,0.015268542
asleep,neutral,0.020838816
additional,neutral,0.016392771
standard,positive,0.009528931
everything,negative,-0.010859531
gr8,negative,-0.0008343626
pick,positive,-0.007620573
drink,positive,0.008860119
coupon,negative,0.015612975
wakinginmemphis,negative,0.017680582
