text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates,tweet_sentiment_DDRM,tweet_sentiment_GAH,tweet_sentiment_OKL,DM_Score,GH_Score,OL_Score,Sum,airline_sentiment,Contested
@jet2tweets the beautiful Mediterranean sea,5.81E+17,sherree75,2015-03-27 09:42:37+00:00,0,0,,positive,neutral,neutral,1,0,0,1,neutral,contested
@jet2tweets i have a package holiday to Budv with you. Can i check in at BUD airport at no cost as I have no access to a printer.,5.81E+17,dizzytix,2015-03-27 09:38:42+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets @OldGeorge8 lovely old job. That's put my mind a rest. Flying with you soon.,5.81E+17,Ericpennyworth,2015-03-27 09:12:43+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets Excellent news and Good to see that Jet2 is ahead of the game!,5.81E+17,OldGeorge8,2015-03-27 08:24:24+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets In light of the terrible French Alps crash will Jet2 be adopting a 2 in the cockpit policy?,5.81E+17,OldGeorge8,2015-03-27 07:48:10+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets final balance paid to holiday! Can't wait to fly out to Lanzarote with the family!! ,5.81E+17,rebekah8_6,2015-03-27 06:43:51+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets ensure a member of cabin crew is in the cockpit when pilot or co pilot leave the cabin. #GermanWingsCrash #AlpsCrash #A320Crash,5.81E+17,mick376ad,2015-03-26 23:22:33+00:00,0,1,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets @pryordurkin nice to read that as always like to fly with Jet2,5.81E+17,DKGooders,2015-03-26 19:13:25+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets Thanks for letting me know!,5.81E+17,itspedromc,2015-03-26 18:32:32+00:00,0,0,,positive,neutral,positive,1,0,1,2,positive,contested
@jet2tweets all Jet2 flights have a 10% sale on! Book your holiday today extra savings #dalaman #Turkey #holidays http://www.jet2.com,5.81E+17,VillaYar,2015-03-26 17:59:03+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@jet2tweets hi my wife injured her leg skiing and needs a wheelchair when we get to Edin from Salz on Sat. How can I arrange that? Thnx,5.81E+17,orourkes05,2015-03-26 17:11:52+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets Can you take water pistols in hold luggage? Sorry if this is a ridiculous question....,5.81E+17,itspedromc,2015-03-26 16:51:45+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets they said take it out of one bag and put it in another surly it's all going on the same plane.please use your heads shocking,5.81E+17,DanLoach,2015-03-26 10:22:08+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets absolutely disgusted just checked in paid £40 to take my clubs and was 3kg over and the charge me £40 extra shocking,5.81E+17,DanLoach,2015-03-26 10:21:13+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets Jet2 nominated as best airline in 2015 #50plusawards Vote http://bit.ly/1zRrM4Z to be included in £50 prize draw,5.81E+17,Rob50plusShow,2015-03-26 09:18:20+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
"@jet2tweets #Jet2snaphut research before you go and keep a little notebook on you with important info, nearest metro station, directions etc",5.81E+17,suenatal,2015-03-26 08:51:04+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets Family and friends 9 day break to Tenerife :) First time with Jet2 ;)),5.81E+17,kittycatlitter,2015-03-25 17:59:22+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets perfect thanks #gifts,5.81E+17,G4SAGGU,2015-03-25 17:44:13+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets flying back from prague tomorrow can I take chocs n sweets in cabin baggage ?,5.81E+17,G4SAGGU,2015-03-25 17:14:08+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets thank you but after several phone calls and a bit of Internet searching a compromise has been reached.,5.81E+17,paula_plt,2015-03-25 16:11:25+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
"@jet2tweets #Jet2Snaphut be prepared to walk A LOT! And always look up around you! Esp in cities like New York, where everything is so tall",5.81E+17,janib_19,2015-03-25 15:44:34+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets #Jet2SnapHut if there is no meter readings try to bargain the taxi price as they always charge extra from foreigners,5.81E+17,HackettLady,2015-03-25 14:38:00+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets is it possible to book a flight for 1 person but room for 2 people on @jet2holidays,5.81E+17,princessrisi,2015-03-25 14:28:18+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets @lyn_mcleod,5.81E+17,lyn_mcleod,2015-03-25 13:59:33+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets Research whether you can or can't drink the tap water, believe me its not fun if you get it wrong.. #jet2snaphut",5.81E+17,____LP____,2015-03-25 13:13:50+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets hi it wont let me print holiday tickets and information for the holiday in 3 weeks could you send them by post instead please?,5.81E+17,mattyrogers1988,2015-03-25 12:50:54+00:00,0,0,,neutral,negative,negative,0,-1,-1,-2,negative,contested
@jet2tweets wish i lived nearer! ,5.81E+17,MrsHelenTP,2015-03-25 11:14:26+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets too bad it's work!,5.80E+17,alexlowndes88,2015-03-24 20:17:34+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets Leeds to Amsterdam,5.80E+17,alexlowndes88,2015-03-24 19:41:19+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets first time with Jet2 today. Very impressed all round, friendly service, on time, clean",5.80E+17,alexlowndes88,2015-03-24 19:23:30+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets only allow one complaint per party!!!!! 10 of us flew and only one of us can complain! @BBCWatchdog @easyJet @flybe,5.80E+17,mountaincamper1,2015-03-24 17:55:51+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets I will be using jet2 anyway ! Top class staff ! Feel free to give us free upgrades when we fly then ha ha #bestairline,5.80E+17,paddyheaver,2015-03-24 17:10:57+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets can I get free flights to ibiza for a week 20th June since im a loyal customer please :) legends !!,5.80E+17,paddyheaver,2015-03-24 16:57:28+00:00,0,0,,neutral,positive,positive,0,1,1,2,positive,contested
@jet2tweets cheers have a good day!,5.80E+17,GChambers10,2015-03-24 14:06:20+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets super. Thank you ,5.80E+17,WeDeserveBette1,2015-03-24 13:45:38+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets can you tell me if you charge extra for baggage containing medical supplies? Travelling next week with my disabled daughter?,5.80E+17,GChambers10,2015-03-24 13:44:47+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets thank you, I will. Will you refund my postage costs? I bought a selfie stick and it doesn't work.",5.80E+17,WeDeserveBette1,2015-03-24 09:48:20+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets can you please give me a number for customer services? 0330 300 0042 from website is not recognised,5.80E+17,judeaustin61,2015-03-24 09:32:48+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets hi I thought it important to tell you that I flew back from Maderia yesterday on 800 and the front 3 rows were NOT asked to wait,5.80E+17,jo90210GG,2015-03-24 07:01:41+00:00,0,0,,neutral,negative,negative,0,-1,-1,-2,negative,contested
@jet2tweets don't know how to do that. Do you want to give me an email address or you mail me eamonn@verycreative.me,5.80E+17,eamonnhunt,2015-03-23 21:54:33+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets running out of room for Cabin luggage on outward flight... equally poor effort,5.80E+17,TheRealRYAN1987,2015-03-23 21:16:33+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets running out of food on the flight back from Rome today. Poor effort.,5.80E+17,TheRealRYAN1987,2015-03-23 21:16:08+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets package ideally,5.80E+17,Lozj77,2015-03-23 14:10:40+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets never in my life have I had worse flying experiences than those with #Jet2 - think twice before booking with them.,5.80E+17,LanaDolan,2015-03-23 14:03:56+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets I travelled from Manchester to Budapest on Thursday and returned yesterday… both journeys delayed by 90mins+ #neveragain,5.80E+17,LanaDolan,2015-03-23 14:01:12+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets When will Jet2Holidays Summer 2016 be on sale? Thanks,5.80E+17,marklewins,2015-03-23 13:57:13+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets i cant see this, can you send me a link please - city break under £200",5.80E+17,Lozj77,2015-03-23 13:34:11+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets you need to follow me so I can send message,5.80E+17,mountaincamper1,2015-03-23 13:31:07+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets cant see late deals,5.80E+17,Lozj77,2015-03-23 13:02:12+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets we are taking part in a charity hitch hike right now!! Please can you help us with flights?? It's for the NSPCC!,5.80E+17,bananahitch15,2015-03-23 11:41:04+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets Is there a way to filter packages on the website from date going? Looking for a trip 3- 6 april, open to locations",5.80E+17,Lozj77,2015-03-23 11:12:54+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets no online check in. What?,5.80E+17,eamonnhunt,2015-03-23 08:16:32+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@Jet2tweets : New flights from Glasgow &amp; Newcastle to Larnaka this summer. @gla_airport @NCLairport,5.80E+17,TemptingHols,2015-03-23 06:50:05+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets It won't be a brand new 737 that's for sure. ,5.80E+17,karlsn74,2015-03-22 22:23:37+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets but purchased some duty free on the plane and its faulty. How may I arrange to return and refund? Thanks,5.80E+17,WeDeserveBette1,2015-03-22 20:56:32+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets had a great flight with yourselves recently. Def more leg room than other economy planes ,5.80E+17,WeDeserveBette1,2015-03-22 20:55:59+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets your pricing policy is driving me nuts! 10% off plus further 5% offer should mean price goes down not up? Sneaky!,5.80E+17,janholt,2015-03-22 17:59:46+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
Rob @jet2tweets With respect I have done this 3 times now &amp; sent trees worth of letters! AESA have replied again &amp; Jet2 fail to do so,5.80E+17,evmoregirl,2015-03-22 16:01:52+00:00,0,1,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets Some Sun? ,5.80E+17,c_sandi91,2015-03-22 13:18:47+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets at Manchester airport..,5.80E+17,thepaullangley,2015-03-22 11:44:31+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets free flights ???,5.80E+17,briangeehx,2015-03-22 11:14:53+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets when will the prices be out for next summer ,5.80E+17,sarahpen29,2015-03-22 09:05:49+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets have a good night,5.79E+17,catherinegard,2015-03-21 18:24:48+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@jet2tweets,5.79E+17,catherinegard,2015-03-21 17:56:08+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets then tunisia in September,5.79E+17,catherinegard,2015-03-21 17:45:44+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets lanzarote 31st May with jet 2,5.79E+17,catherinegard,2015-03-21 17:44:40+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets what are you going to do about the threat of court action by the watchdog for ignoring their instructions?,5.79E+17,LesleyCollins1,2015-03-21 17:04:13+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets @UK_CAA Jet2 will never comply unless made to do so their customer service is shocking delayed flight they are in denial? #fail,5.79E+17,tjhkdog,2015-03-21 16:42:31+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets i can't go to My Booking and change it as it states in the FAQ section you can change your selected seat without a call.,5.79E+17,DavidCLumb1,2015-03-21 15:58:20+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets is it Possible for me to change my seat Allocation that ive bought? or is it not possible?,5.79E+17,DavidCLumb1,2015-03-21 15:42:39+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets thanks for the help guy's. Much appreciated.,5.79E+17,RealMarkMcC,2015-03-21 15:24:15+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets so sent a email to operations 3 days ago and not had a response. More crap customer service from you!!,5.79E+17,therealjbeal,2015-03-21 15:09:50+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
"@jet2tweets hey, any idea when summer 2016 holidays will be released? Thanks.",5.79E+17,RealMarkMcC,2015-03-21 14:58:48+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets 40 minutes without an answer, I hope I don't get charged for being on hold!!!",5.79E+17,leedawson1_lee,2015-03-21 13:50:51+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets are your phone lines down? Been on hold for ages and no answer!,5.79E+17,leedawson1_lee,2015-03-21 13:21:41+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets hi I've booked with u but need to req a travel cot how do I do that? Thanks,5.79E+17,ruthabram,2015-03-21 11:41:50+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets great ok thanks!,5.79E+17,sazzle0dazzle,2015-03-21 09:47:03+00:00,0,0,,positive,neutral,positive,1,0,1,2,positive,contested
"@jet2tweets yes I am aware of that, but I am trying to find out for my friend what her fees would be",5.79E+17,sazzle0dazzle,2015-03-21 09:23:03+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
