Predictions,Text
1,airline -pron- never rec would cancel flightlation notice -pron- leave w option fly ps drive la red eye mon w kid
3,airline try book flight -pron- site grinningfacewithsmilingeye
1,airline -pron- flight fly boston tomorrow need home -pron- cancel flightle -pron- flight anything
1,airline -pron- stink flight cancel flight psp jfk notification ability rebook disappointed expect well
7,airline -pron- website try check
3,airline seat row 8 recline mention -pron- website soreback
1,airline flight 404 delay 2 hour la due mechanical problem handle like pro -pron- could toss -pron- free drink
1,airline cancel flight flight today precipitation scare snowflake️snowflake️snowflake️
1,airline -pron- guy charge -pron- 100 reschedule flight cancel flighted refuse refund -pron- deal
4,airline access -pron- website safari iphone 6 seem work mac ipad need iphone add passbook
3,airline -pron- mobile site break show headerelevateusernumofpointsavailable 0 number point let -pron- checkin
3,airline really look forward -pron- flight -pron- let -pron- know -pron- reschedule diehardvirgin
1,airline cancel flight flight vx413 one sec -pron- delay -pron- airport next -pron- cancel flightledgonna email call -pron- reschedule
2,airline -pron- problem link email checkin thank
0,airline change another airline get dc today otherairline able land dc -pron- cost -pron- 800 ugh
0,airline look forward -pron- first flight -pron- today -pron- cancel flightle along subsequent one
1,airline -pron- go deal dallas dc deal dc dallas sad
7,airline hold time call center bit much
7,airline site help
5,airline try reset -pron- password email never arrive help
1,airline reason delay departure vx 413 jfk afternoon
1,airline today flight palm spring ca jfk ny cancel flightled
2,airline css -pron- site 404 right please fix site unusable
0,airline -pron- flight 910 vegas boston today check online -pron- bag count register fix somehow
7,airline hi try checkin website work try 3 different browser problem continue
0,airline passenger 7d flt 338 assault -pron- fly trust -pron- ban crew file report user
4,airline current bug website show ' select departure city ' select destination city
5,airline luggage severely dentedmisse wheel come baggage claim san luggage agent miranda think help
6,airline request window seat confirm window get stick middle seat good way treat silver memberunamusedface
5,airline wtf pay direct flight purpose stop fuel exhaust frequent flier nothing inconvenience
4,airline something wrong -pron- website safari iphone
2,airline already check page expire x
3,airline boo refund seat upgrade fee want buy first place
3,airline move -pron- seat notice well seat cabin select behind row selectedthumbsdown disappoint
4,airline already contact central baggage send dm user charge -pron- dress lost suitcase help
2,airline anything go website get lot error past 30 minute
3,airline user check flight sfo lax tell atlantic fly club gold get benefit
0,airline husband order three drink via -pron- screen -pron- never come awesome
3,airline soooo -pron- guy go leave seatbelt light flight -pron- barely call turbulence
7,airline funny story -pron- website break -pron- miss javascript stylesheet checkin process dislike
7,airline try check -pron- 1050am ct flight tmm desktop website -pron- work sort cache bug sos
5,airline -pron- guy know -pron- checkin link email break
1,airline lose -pron- luggage 4 day ago flight vx 112 lax iad call every day responseplease give -pron- back -pron- stuff
3,airline flight book problem section -pron- website seem break chrome may wanna look
3,airline look like broken link -pron- asset
6,airline manage itinerary section -pron- website seem break -pron-
3,airline check -pron- site look like every time -pron- load
3,airline carrier less half price round trip fare stunned
4,airline wtf happen pdx late flight march one way sfo 550
4,airline -pron- luggage go file -pron- paperwork promise callemail still resolution response central luggage
2,airline request mileage challenge status several week ago online hear back get help
3,airline try book ticket nyc face super fun broken styling worry keep try
2,airline apply status match feb 1 get confirmation email day still news though -pron- guy drop ball late flightly disappointedbutrelievedface
3,airline try checkinbut look like -pron- site
3,airline spend -pron- birthday night -pron- daldca get -pron- home
2,airline send couple message email -pron- provide avail try next year cheer
5,airline seriously though direct flight sfofll may
4,airline -pron- fine already -pron- purchase -pron- try -pron- go way go back 3
5,airline really experience hope 4 ws force 2 check small carry nothing empty cabin space board
5,airline wjere -pron- luggage slow lax
6,airline speak representative offer solution loyal customer fly user well
2,airline deeply disappointed -pron- birthday promo apply trip book mere day receive email
5,airline happen direct flight sfofll look may see connect help dontdothistome
2,airline 2d 3d emboss badge patch superior one -pron- currently use
5,airline vx399 jfk la dirty plane -pron- standard
5,airline flight vx399 head la jfk dirtiest va plane ever sad great airline
7,airline -pron- avis rental continue button work -pron- website book car try 4 time phone suck
0,airline delay to1030
7,airline currently minute 10 hold cust service need anything add lap child -pron- reservation
2,airline comenity bank joke please change nothing constant problem bank
2,user submit status match request back still hear -pron- fly monday -pron- look accelerate
3,airline pull -pron- hair try book flight u -pron- site work iphone ipaddo computer help
7,airline get help support ticket -pron- 15 day incident 150202000419 thank -pron-
5,airline even open -pron- laptop seat 4c pay premium let -pron-
5,airline seat 4c even open -pron- laptop pay extra seat
5,airline fyi infovirginamericacom email address -pron- say contact password reset email exist email bounce
4,airline status match 2 week go newsflt next week hope flt count towards requirement cust svc help
4,airline -pron- website suck donkey dick think -pron- know good
0,airline crap channel pay watch uk tv
4,airline come -pron- iphone app still use make -pron- waste paper
3,airline -pron- back seat entertainment system accept credit card apostrophe surname apostrophefail
3,airline vx use 6 lga slot instead 4 today add aus make less likely
5,airline sad learn -pron- longer fly sfo phl hope -pron- return
3,airline kinda suck -pron- earphone jack work -pron- flight -pron- may want look future passenger
7,airline poor experience first computer problem seat malfunction stuck miss meeting san diego
3,airline try -pron- offer charge -pron- additional 1k new ticket strand thurs 1st time last time
2,airline never bad experience one take cake extortion carry item well
3,airline spend 5 hour worry item carryon would brokenstolen since could carry -pron- plane lock bag
4,airline group e tell room bin get plane room least 4 bag -pron- row
7,airline thank make -pron- flight lax jfk nightmare force -pron- check -pron- carry bag gate 1
0,airline lot flight book -pron- site -pron- work phone wait 10 minute
6,airline -pron- take 12 year fly home dallas get -pron- shit together
5,airline man steel fly city thoughand frequency
5,airline start -pron- flight scolding use overhead bin offer person seat next -pron-
1,airline airline cancel flight flight bos help -pron- customer get home virgin say good luck
1,airline group virgin bos weather expose -pron- actual cus serv model never flight booking problem virgin
2,airline one traveler affect boston storm shock virgin complete apathy toward -pron- customer
7,airline umm reason someone different contact contact -pron- get definitive answer
3,airline try make change advance 24 hour prior … try -pron- online early -pron- want 300 change fee
3,airline mood light pointraisinghand recline -pron- seat kickin -pron- feetzzz
1,airline -pron- flight 6000 schedule 1 p.m. departure still say time plane gate update long delay
3,airline -pron- group get -pron- cancel flightlation fee waive -pron- ticket book 218 -pron- rep help either poutingface
7,airline still refund word via dm please resolve issue -pron- cancel flightled flight useless -pron- assistant trip
1,airline delay due lack crew delay long line deice still need improve service unite
5,airline -pron- eriord express connection hugely popular -pron- could eriewr hop
1,airline -pron- think -pron- board flight au1066 early think
6,airline gate agent hook -pron- alternate flight -pron- way prevent constant issue would rock
6,airline bad nonrefundable first class ticket oh -pron- select globalfc -pron- system auto select economy withupgrade
4,airline user buy tix 3 day flight transfer tix flawed security logic flawed customer service
5,airline start claim 810 week unrealistic really suppose go long car seat -pron- childridiculous
2,airline car seat lose airline reimburse -pron- new one pair shoe -pron- necessity -pron- child
5,airline user totally suck -pron- cousin work phl say airline
2,airline beginning feb call united -pron- say -pron- would send another voucher mail never get anything tiredofwaite
3,airline internet great thing email executive -pron- company maybe -pron- respond -pron- timely manner
5,airline weak see ya wavinghand hey otherairline
4,airline fly back w company since united early flight
3,airline try book award september need flight user -pron- show even many award seat availab
6,airline sure drive total 3 hour get -pron- bag would like explain debacle one want talk -pron-
0,airline see -pron- tell repeatedly pilot late flight keep get late flightr -pron- board defibrillator issue
3,airline preferred security line anymore -pron- tsa precheck pull -pron- user partner flight platinum spoil
6,airline newarkliberty airport need indicate different gate terminal c flyingainteasy
4,airline yes please newly married try update -pron- last name preexist international flight -pron- seem easy
3,airline united refuse reissue 400 lose voucher -pron- plane take due mechanic badcustomerservice
3,airline also run instruct shatter -pron- computer
5,airline yes -pron- agent last 50 minute one agent rude thankfully ladan nice
5,airline iah charlotte baggage claim rep latrice h customerservice non existent ignore customer inappropriately touch customer
2,airline user would love respond -pron- website see really long form business new seat bad
0,airline refund flight voucher another flight different airline -pron- expense today 8 hour drive inconvenient
2,airline receive -pron- call back -pron- 3 daysit infant car seat suppose go anywhere -pron- child
6,airline well sit ground time wait gateagain tiredofthis
3,airline need -pron- guy book plane -pron- concern travel someone else move forward
6,airline measly 50 ecertificate -pron- appreciate loyal customer -pron- wait 3hrs tarmac ua1116 unacceptable
2,airline email addressusername signon available -pron-
5,airline rude rude
1,airline get boarding pass -pron- austrian airline codeshare flight rebook incls 6 hour layover stick outside sec
1,user receive flight unite truly break guitars unitedbreaksguitar wantmymoneyback
6,airline fly telaviv pay 100 third suitcase even make -pron- plane besides impolite service
3,airline -pron- bag still colo spring disabled search unfamiliar airport look -pron- bag good outcome
2,airline shame flex ticket transfer rule even call neurosurgery icu enough
2,airline denver say -pron- handle baggage make -pron- colo spring -pron- give -pron- 800 number call help either
6,airline -pron- guy need serious training customer service many well option put way -pron- guy handle ur mistake
7,airline -pron- find -pron- problem -pron- avoid -pron- like plague tell -pron- find supervisor
1,airline zcc82u cancel flight flight 16h advance need connect flight reschedule link help help gf wait month see -pron-
4,airline fly -pron-
1,airline addition -pron- first flight delay hour arrive -pron- destination 8 hrs late flight
7,airline -pron- travel book thru united group dept okc ticket agent less willing help -pron- connection lax
2,airline v upset -pron- disability service tell one -pron- employee carry medical equipment -pron- rude
2,airline thnx quick reply think -pron- assist -pron- intl grp put considerable inconvenience today
3,airline transfer flight ticket accompany 11 yr old active military mom emergency brain surgery wow
3,airline user 7 week late flightr still receive -pron- mile mileageplus gift card 150 starbuck card hand
5,airline 1k always hope improvement
5,airline yet complain guy check -pron- luggage -pron- throw bag around unfortunate coincidence hope
7,airline okc ticket agent roger mclarrensp less helpful -pron- intl group travel problem find supervisor help
2,airline mobile app need construction ground os category -pron- expensive get right
7,airline another fail united ticket agent okc less helpful could care less -pron- problem american -pron- come
5,airline send email customer care tell -pron- may break -pron- cryingface sincerely hope -pron- help -pron-
6,airline silly fly delta today -pron- united club staff attendant surly unhelpful always seem bother pesky folk
2,airline well -pron- fix -pron- miss -pron- buddy 30th bday negligence -pron- attempt make -pron-
2,airline believe -pron- help customer service could like say want number someone fix -pron-
5,airline -pron- help -pron- baggage service desk say bc tsa screening fll bag make -pron- bag ewr user 12
3,airline mobile boarding pass disappear phone stand line board second time week hmm
3,airline explain eager flight attendant try ask -pron- vision -pron- user guide dog
3,airline point ask detail servicedog -pron- book -pron- flight crew read -pron- continue
1,airline try one available bogota everyone rude houston stick 35 hour -pron- guy
1,airline worst2unitedflightsever ua 236 la iad 224 mechanical problem take land fix delay wtfodd
0,user go ua 236 outbound flight last thur delay 4hrs long delay worst2unitedflightsever
1,airline worst2unitedflightsever ua1429 iad las 219 mechanical problem switch aircraft delay 35 hour
7,airline crash try check
5,airline 768 logan boarding gong show due lax carry enforcement bin full coat room bag u need well system
7,airline blackmail -pron- pay £ 130 extra -pron- return ticket nullify san francisco airport terrible service rep scam
3,airline disappoint u honor -pron- 100 credit give -pron- ur mistake take -pron- business elsewhere victoryhand️out
0,airline ua1673 still wait suppose depart 908
4,airline -pron- credit -pron- last trip never come mail
0,airline ok -pron- 7 month wait hear airline give -pron- quite bit 30 day request terrible service
7,airline process ever end still wait reply since 2 month pathetic customerservice
7,airline go -pron- website flight booking problem three ticket today boot system umpteen time
2,airline get -pron- account number -pron- website say email unavailable
7,airline receive 1 bag last night still miss one
3,airline user -pron- need upgrade seat even economy plus -pron- like sit concrete bench
1,airline 2nd flight also delay pilot -pron- board -pron- sit schedule
3,airline -pron- hard stay upset someone -pron- least try show remorse
2,airline way simple apology go long way even -pron- hollow one -pron- obvious -pron- care -pron- -pron- wellbeing
6,airline one time thing either -pron- shocking pattern repeat neglect disrespect
2,airline finger cross -pron- intact disappointed experience -pron- actually say -pron- enjoy use -pron-
3,airline -pron- incredibly easy fix -pron- would rather stay -pron- comfort zone get force -pron-
2,airline july -pron- zero excuse -pron- outofdate system cause problem like
3,airline everyone around -pron- sit -pron- friend family member -pron- book -pron- ticket october december -pron- buy
6,airline sure -pron- talk -pron- go nonstop flight sna sfo sfo ewr
7,united -pron- move otherairline airline talk service
6,airline ask legitimate question systemwide vs localized problem get back unrelate flightd copypaste -pron- well
6,airline time call need -pron- ski go airport get -pron- faith united
2,airline see -pron- guy -pron- amazing one company continually make mistake yet fail hold accountable -pron- error
7,airline yeah sorry always problem united -pron- international reputation problem
2,airline maybe user would care hear go whoever listen issue -pron- cause
4,airline wonder share fb insta would produce number 140 character really limit -pron- story tell
4,airline -pron- tell -pron- number call leave airport negligent pilot staff
2,airline could email resent -pron- appear arrive
2,airline -pron- follow -pron- order -pron- dmcome
3,airline 25 united coupon make broken entertainment system 9hour flight seriously ridiculousness learncustomerservice
7,airline -pron- drop -pron- bag overnight leave week -pron- suppose hold bag
2,airline dm detail still response book today
3,airline able dm -pron- -pron- confirmation number
2,airline send message let -pron- know -pron- get -pron- twitterliterate also -pron- really go stick 18hrs
2,airline unhappy response complaint email 2nd feb ref8441639 awful customer service
3,airline -pron- give option use -pron- united travelbank recent flight booking problem help use recoup fund thank
4,airline common keep -pron- paper work ready delay -pron- flights1585and meeting user
1,airline yep correct get email 1230 flight cancel flightle matter flight atl delay thx
4,airline 1k problem get fll iah send dm -pron- make -pron- connection please let -pron- know
1,airline ground montreal ua3659 miss -pron- connection ua3417 st louis -pron- helpdo -pron- private jet -pron-
2,airline frustrated nervous
2,airline one make -pron- difficult -pron-
6,airline child someone issue fly prepare ahead time reduce distress cause plane -pron-
1,airline -pron- get cancel flightle 10 hour take
2,airline always happen -pron- guy -pron- make travel incredibly stressful uncomfortable good business -pron-
7,airline someone severe anxiety one person help -pron- next -pron-
2,airline seek go 2 client bc u get -pron- need refund fill form confident -pron- work past indication
5,airline luckily make -pron- flight time disappointed lack communication
1,airline check see flight 3466 atlord get cancel flighted
6,airline service far horrid -pron- want end trip high note guess option
6,airline book flight home 7 month ago request seat together -pron- fiancée -pron- get 2 middle seat unacceptable
3,airline -pron- guy horrible
5,airline pay 17 wifi international business ticket pennypincher
5,airline ok top thing -pron- lose -pron- luggage could -pron- get bad unitedairline
5,airline -pron- luggage break youcouldntmakethis brokenwheel
2,airline maybe one day -pron- one quote
1,airline flight delayedno one remember turn heat flight 559 leave ordseriously
7,airline speak real person get resolve politely efficiently 22
3,airline file refund claim tell charge -pron- dm dispute -pron- bank hence would like12
7,airline bag make -pron- flight iad second day without clothe pretty inconvenient -pron- pretty curious unitedairline
2,airline hence ask customer service phone number speak real person get sort
5,airline -pron- bag leave washington yet would convenient see -pron- leave day ago unitedairline lostluggage
7,airline accord -pron- dms owe refund please may provide contact number go -pron- bank file claim
7,airline 3 hour ago need work -pron- bag make -pron- -pron- hotel time -pron- need go elsewhere
5,airline pls properly train -pron- agent request speak 1k customer service transfer dead end even open hr
5,airline thank remember load -pron- bag onto -pron- connect flight oh wait -pron- forgot iceland fun clothe
7,airline customer service atrocious -pron- disrupt -pron- travel plan -pron- lose -pron- luggage -pron- impossible talk human
0,airline terminal mia food open 5 a.m. esp flight 6 a.m. two hour early like recommend eat
1,airline -pron- ua flight 1001 currently stick portland miss -pron- ride 3 hour delay getmartyhome
2,airline respond -pron- various request contact number anyone know uk customer service number unitedairline
3,airline -pron- look get bag lusaka
4,airline could -pron- update -pron- suitcase please online phone tracking tell -pron- nothing tell would -pron- back yesterday
3,airline 1 last thing u guy charge drink transatlantic flight
1,airline lhr arrival lounge fail wait 20 min shower leave find hotel u know many passenger u carry planning
3,airline complete form doubt -pron- use ua care 6 day vacation 5 sure ua feel responsibility
5,airline nope -pron- tell -pron- -pron- time -pron- go home sleep airport even though -pron- assure -pron- -pron- would get room
2,airline back expensive holiday -pron- work year pay -pron- ruin -pron- want compensation -pron- original case back
2,airline thank unite understand -pron- would actually like -pron- bag back -pron- -pron- -pron- also want money
7,airline frankly bad customer service ever problem happen -pron- deal define company never unite
0,airline -pron- still valid flight seem strange delay late flight inbound crew 7 hour plane already
5,airline thank lack help canned response 1k desk
0,airline -pron- bad ua another unforeseeable operational issue -pron- return flight
5,airline pay -pron- 25 35 -pron- luggage deliver arrive wait 3 additional day -pron- delivery
3,airline 8 hotel 32 people feel like -pron- hold hostage someone -pron- boarding pass -pron- leave fail
7,airline outbound 2 bag 70 lbs bag return home 1 bag 50 lb -pron- logic write machine human help require
6,user user -pron- like hear -pron- poor experience please share detail withour customer care team
4,airline cancel flightn leave -pron- fend -pron- flt come late flight get runaround 3 hrs employee blame previous 1
5,airline okay ase24766 find -pron- luggage
2,airline agent meet -pron- gate say issue withdelay ua1116 would take online
2,airline -pron- lady one phone say -pron- tel aviv tel aviv united say -pron- newark one know nothing
2,airline yes still answer many -pron- luggage 3 day unacceptable
4,airline go -pron- nothing like -pron- always
1,airline plus food taxi
5,airline -pron- offer -pron- 8 room 32 people fail
7,airline 32 people get pretty tired action solve problem plus miss day vacation skiing
4,airline bright side would keep promise make -pron- hope -pron- good night thank
2,airline take back comment -pron- team work hard help -pron- far solution hotel food anything fail
1,airline 4124 arrive two hour late flight clt sit tarmac -pron- move plane gate unhappy customer
0,airline airline absolute bad -pron- idea -pron- neveragain unitedairline
2,airline thank may want fix line -pron- customer care team currently respond inquiry within 710 business day
7,airline -pron- frustrating frequent flyer loyal since continental upgrade equal pay 3 time top purchase ticket
0,airline -pron- bad figure pack plane screw connectns claim hotl room san fran strand pax way go
1,airline 4 passenger 2 hour delay flight leave hotel end night user hou airport wtf
1,hey airline flight iah pos leave late flight one back iah early rather get pos early
5,airline lose bag process break agent promise -pron- would call hold -pron- bag find -pron- wake -pron- 3 a.m. delivery fail
5,airline people counter helpful -pron- see nobody flight austin 1055 still sit
4,""" united user -pron- regret hear please let -pron- know -pron- need assistance kn "" finally able secure -pron- seat thx"
4,airline good know -pron- open close door premier passenger safety briefing delay flight annoy
5,airline yea get -pron- phoenix already delay day -pron- people -pron- bullshit
0,airline -pron- consolation -pron- staff stellar hour delay encounter every one -pron- 4 flight
3,airline unfortunate user xmas gift -pron- look like razor rip right front pocket picture
7,airline lose bag cancel flightled flight delhi call centers poor united staff spread thin stress -pron- name -pron-
5,airline yes make mistake less absurd change fact inconveniently miss -pron- luggage tonight
3,airline constantly challenge upgrade charge order prevent dvt pay addtl 180
6,airline ord wait 20 min crew member leave gate item come flight attendant sarcastically say good luck walk away
4,airline seriously fail make stranger share room
7,airline -pron- need -pron- asap -pron- make -pron- today flight
3,airline agent split -pron- reservation cancel flight refund credit 2wk
4,airline would -pron- make -pron- share room
2,airline try call with25 min phn wait mean -pron- would miss option anyway
6,airline -pron- ask -pron- guy flight 1146 bwi wait -pron- get delay flight san diego pretty please
6,airline -pron- still wait find -pron- rep work hard upset wait tomorrow pm get mammoth
2,airline early flt think call appropriate yes review nada avail next day expect full refund
2,airline ask call get fix tweet -pron- bs question stall make thing bad phone number please
1,airline yo yo yo stick tarmac 2 hour user go miss -pron- ride user help please helpimstuck united
1,airline -pron- highly unprofessional -pron- overbook flight 12 seat feel rearrange -pron- schedule -pron- mismanagement
5,airline well consider every agent claim -pron- unable help everything else waste time hear call corp
1,airline ice totally understand large number -pron- face 15 hour time overnight cancel flightation -pron- seem like
1,airline flt 1249 cancel flightle get email user happen courtesy phn call book diff airline city
5,airline tag number 0016 964012 0016 964077 0016 964078 let find bag
7,airline well train -pron- support staff appropriate decorum consider revisit -pron- terrible provide death certificate policy
3,airline well bar set low -pron- guy really good apology game change u guy learn
2,airline way make phone call need handle via twitteremailweb thank -pron-
6,airline -pron- website deserve new design html5 ftw
5,airline thank eff -pron- holiday -pron- miss full day skiing due -pron- baggage team incompetence user
3,airline agent help person front -pron- finish -pron- walk away guy behind -pron- shocked
5,airline connection ord exact plane check carryon apparently take leave chicago pretty ridiculous
6,airline encourage -pron- cpap tonight
5,airline yes file claim soon carousel stop without -pron- bag -pron- get email -pron- find sche delivery
5,airline delay dencle -pron- manually enter baggage tag really bad cust service day 1ker friendlyskie
0,airline tell -pron- flight delay tell -pron- -pron- time 20 min spare say -pron- delay unless -pron- sure
7,airline yes lusaka zambia -pron- guess bag never make plane iad
0,airline late flight denver late flight newarklet even get disaster check bag unacceptable
4,airline let -pron- think ever fly -pron- problem bad airline period
5,airline yes file claim hope receive luggage 2 a.m. ridiculous purchase item go sleep reimbursement
0,airline ua938 ordlhr bag load 30min late flight frigid air cabin plane feel like fall apart upgrade long haul fleet
1,airline flight attendant never serve -pron- -pron- beverage tea check -pron- give ua6076 notcool
5,airline load balancing system apparently systemwide major impact united airlines flight cyberattack
5,airline -pron- unscheduled refueling stop miss 2 connect flight -pron- r home n look 4ward -pron- bed big pb j sandwich
3,airline otherairline spend hundred rectify situation -pron- guy go quiet
5,airline ua276 sit ewr nearly hour sked pilot say computer clue -pron- leave -pron- help
7,airline otherairline -pron- -pron- end come travel literally extra day half
3,airline receive -pron- luggage also look leave snow arrive ask 50 people refund
0,airline update a320 aircraft wifi device entertainment outlet get -pron- charge device
2,airline one scan inside plane ask people line around -pron- plane go
0,airline 5 gate change two delay even crew think airline suck
6,airline frustrated waste 2 day due -pron- equipment failure
3,airline computer -pron- stop give update take -pron- flight info app ridiculous keep people update
6,airline soooo -pron- 15 day -pron- offer response assume poor treatment gate agent norm
7,airline call 800 result 2hrs hold time 2day wait check suspect code share fare nothing investigate — -pron- time waste 22
2,airline -pron- take 3 week cust care respond case 8477733 request refund wifi work get update
3,airline correct — spend hour try book online receive error click final purchase button 12
7,airline today -pron- fine could prevent one gate agent advise 200 passenger
0,airline real deal delay flight ua 1032 denver vegas
5,airline ua63 madrid arrive agent mass confusion -pron- send fro 3 ua employee maryjo rude unhelpful
6,airline system failure bad trend software project like fly airplane thing emergency takeoff
0,airline lot report system failure delay flight last week currently sit tarmac ogg hour
4,airline however completely -pron- control — price still display
5,airline -pron- tell -pron- file claim clothing purchase
6,airline comically return flight ase two united flight boarding adjacent gate clear plane board
5,airline grk13575 file reference
5,airline -pron- wouldhow contact -pron- discuss poor experience customer service would give -pron- shot
4,airline ua 746 pacific rim date night cut constantly randomly one spot repeatably
3,airline try since 1230 file report
5,airline send email -pron- bad experience -pron- send back generic response yet another reason never fly -pron-
7,airline ticket 0162424965446 please refund -pron- unnecessary upgrade fee
3,airline horrible -pron- lose -pron- carseat expect -pron- use loner carseat safety regulation say -pron- illegal use use car seat
3,user care user link show -pron- wrong price -pron- site — -pron- -pron- site responsibility ensure correctness
1,airline -pron- need get home 24th -pron- tell -pron- -pron- 25th user night compensation anything
3,""" united user baggage fee waive premier member please see jp "" point membership"
1,airline wonderful bag claim people finally -pron- bag catch early flight original flight land wastedtime
5,airline dme -pron- thank -pron-
4,airline 3 day late flightr -pron- bag leave iad united help everyone tell -pron- different story
1,airline -pron- lose gate check bag den ord direct flight ugh
1,airline catch early flight ord gate check bag -pron- lose -pron- ohare original flight land 20minutes frustrating
7,airline -pron- please follow dm miss bag
7,airline leave item plane call non stop one answer -pron- please help
5,airline good number call speak someone -pron- fix -pron- 50 people -pron- luggage saturday
5,airline -pron- damn bag
5,airline well someone tell employee denver baggage claim still bag
5,airline divert miss -pron- connect flight tell -pron- bag -pron- way msy -pron- people care
5,airline male agnt las threaten canadian cust cust take pic -pron- gate agent announce help rebook friendlyskie
