tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,locations_from_text
5.69982E+17,neutral,0.6814,,0,Virgin America,,1stcrown,,0,virginamerica flight 0736 dal to dca 224 210pm tried to check in could not status please,,23/02/2015 14:09,USA,Central Time (US & Canada),"[{'from': 'dal', 'to': 'dca'}]"
5.69949E+17,neutral,1,,,Virgin America,,jamied7,,0,virginamerica hi i just booked a flight but need to add baggage how can i do this,,23/02/2015 11:56,"London, England",London,[{'to': 'add'}]
5.69912E+17,negative,1,Cancelled Flight,1,Virgin America,,AlisonK33774854,,0,virginamerica i like the tv and interesting video  just disappointed in cancelled flightled flight when other flights went out to jfk on saturday ,,23/02/2015 09:29,,,[{'to': 'jfk'}]
5.69912E+17,negative,1,Late Flight,1,Virgin America,,GunsNDip,,0,virginamerica just landed in lax an hour after i should of been here your no late flight bag check is not business travel friendly nomorevirgin,,23/02/2015 09:28,,Pacific Time (US & Canada),[{'to': 'lax'}]
5.69894E+17,neutral,1,,,Virgin America,,STravelsW,,0,virginamerica trying to add my boy prince to my ressie sf this thursday virginamerica from lax ,,23/02/2015 08:19,"Manhattan Beach, CA",,"[{'to': 'add'}, {'from': 'lax'}]"
5.69891E+17,negative,0.6925,Late Flight,0.3521,Virgin America,,mrmichaellay,,0,virginamerica hows a direct flight fll to sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight sneaky,"[0.0, 0.0]",23/02/2015 08:08,Floridian from Cincinnati ,Eastern Time (US & Canada),"[{'from': 'fll', 'to': 'sfo'}]"
5.69882E+17,neutral,0.6593,,0,Virgin America,,drcaseydrake,,0,virginamerica i was scheduled for sfo 2 dal flight 714 today changed to 24th due weather looks like flight still on,"[37.79374402, -122.39327564]",23/02/2015 07:28,"Dallas, TX",,"[{'from': 'sfo', 'to': 'dal'}]"
5.69861E+17,positive,0.3482,,0,Virgin America,,AdamJdubs,,0,virginamerica come back to phl already we need you to take us out of this horrible cold pleasecomeback ,,23/02/2015 06:07,Earth,Eastern Time (US & Canada),[{'to': 'phl'}]
5.6977E+17,positive,1,,,Virgin America,,SamBrittenham,,0,virginamerica love the team running gate e9 at las tonight waited for a delayed flight and they kept things entertaining,,23/02/2015 00:06,USA,Eastern Time (US & Canada),[{'to': 'las'}]
5.69714E+17,positive,1,,,Virgin America,,ptbrodie,,0,virginamerica thanks to your outstanding nycjfk crew who moved mountains to get me home to san francisco tonight,,22/02/2015 20:23,San Francisco,,[{'to': 'san francisco'}]
5.69649E+17,neutral,1,,,Virgin America,,F6x,,0,virginamerica how can i watch the oscars2015 on my jfk to sfo flight,"[40.64662464, -73.77090177]",22/02/2015 16:05,"San Francisco, CA",Pacific Time (US & Canada),"[{'from': 'jfk', 'to': 'sfo'}]"
5.69634E+17,neutral,1,,,Virgin America,,nikkisixxfan93,,0,virginamerica has flight number 276 from sfo to cabo san lucas arrived yet,,22/02/2015 15:03,"Sacramento,California",Pacific Time (US & Canada),"[{'from': 'sfo'}, {'from': 'sfo', 'to': 'cabo'}]"
5.69627E+17,negative,1,Customer Service Issue,1,Virgin America,,tfaz,,0,virginamerica i need to register a service dog for a first class ticket from sfo  to  dulles the phone queue is an hour or longer pls advise,,22/02/2015 14:39,"Oakland, California",Pacific Time (US & Canada),"[{'from': 'sfo'}, {'from': 'sfo'}]"
5.69619E+17,negative,0.6543,Flight Attendant Complaints,0.3562,Virgin America,,MOCBlogger,,0,virginamerica youd think paying an extra 100 bucks rt for luggage might afford you hiring an extra hand at sfo lame,,22/02/2015 14:03,San Diego,Alaska,[{'to': 'sfo'}]
5.69575E+17,neutral,0.6732,,0,Virgin America,,RheaThurman1,,0,virginamerica   is flight 713 from love field to sfo definitely cancelled flightled for monday february 23,,22/02/2015 11:10,,,[{'to': 'sfo'}]
5.69575E+17,neutral,1,,,Virgin America,,Osiris91780,,0,virginamerica is flight 0769 out of lga to dfw on time,,22/02/2015 11:10,,,"[{'from': 'lga', 'to': 'dfw'}]"
5.69565E+17,negative,1,Cancelled Flight,1,Virgin America,,finslippy,,0,virginamerica our flight into lga was cancelled flighted were stuck in dallas i called to reschedule told i could get a flight for today12,,22/02/2015 10:29,Brooklyn,Eastern Time (US & Canada),"[{'to': 'lga'}, {'to': 'dallas'}]"
5.69482E+17,neutral,1,,,Virgin America,,NewsSWA,,0,virginamerica plans to include austin to its dallas route  topnews arab emirates ,,22/02/2015 05:02,FL410,Sydney,[{'from': 'austin'}]
5.69478E+17,negative,1,Customer Service Issue,1,Virgin America,,CSHangover,,0,virginamerica is it normal to receive no reply from central baggage baggageissues smh,,22/02/2015 04:43,Tokyo,Irkutsk,"[{'from': 'normal'}, {'from': 'central'}]"
5.69461E+17,negative,1,longlines,0.6818,Virgin America,,girlphotophilly,,0,virginamerica at logan airport and waiting to checkin for my 9am flight checkin desk not open  why,,22/02/2015 03:39,"Philadelphia, Pa",Eastern Time (US & Canada),[{'to': 'logan'}]
5.69369E+17,negative,1,Can't Tell,0.663,Virgin America,,Boards707,,0,virginamerica congrats you just got all my business from ewr to sfolax fuck you united fl1289 sfoewr was the clincher,,21/02/2015 21:32,"Belmar, NJ",Eastern Time (US & Canada),"[{'from': 'ewr'}, {'from': 'ewr'}]"
5.69349E+17,negative,1,Cancelled Flight,0.3709,Virgin America,,ChrysiChrysic,,0,virginamerica shame on va for making people spend money in stranded cities when other airlines are landing at jfk who will reimburse me,,21/02/2015 20:11,,,[{'to': 'jfk'}]
5.69323E+17,neutral,0.6942,,0,Virgin America,,elaurawrr,,0,virginamerica can you please have flights in  sjc  i have no choice but to fly southwest to vegas 😩😭,,21/02/2015 18:29,,Arizona,[{'to': 'sjc'}]
5.69319E+17,negative,0.6791,Cancelled Flight,0.6791,Virgin America,,meladorri,,0,virginamerica flight from bos  to  las tomorrow was cancelled flightled no notification wait times are 1 hour will you rebook on another airline,,21/02/2015 18:11,"Boston, MA",Central Time (US & Canada),"[{'from': 'bos'}, {'from': 'bos', 'to': 'las'}]"
5.69311E+17,neutral,0.653,,,Virgin America,,obiwantoby,,0,virginamerica if only you guys had flights from cmh,,21/02/2015 17:43,,Quito,[{'from': 'cmh'}]
5.69277E+17,negative,0.7158,Cancelled Flight,0.7158,Virgin America,,Artenis15,,0,virginamerica you have any flights flying into boston tomorrow i need to be home and you cancelled flightled my flight and didnt do anything,,21/02/2015 15:27,MA // Ashton in Wonderland,Eastern Time (US & Canada),[{'to': 'boston'}]
5.69264E+17,negative,1,Cancelled Flight,1,Virgin America,,NancyJFriedman,,0,virginamerica you stink flight cancelled flighted from psp to jfk and no notification or ability to rebook disappointed  expected better,,21/02/2015 14:34,New York City,Eastern Time (US & Canada),[{'to': 'jfk'}]
5.69261E+17,neutral,0.6809,,0,Virgin America,,carabubes,,0,virginamerica nervous about my flight from dc to lax getting cancelled flightled tomorrow just sent you a dm to help me,,21/02/2015 14:23,"Los Angeles, California",Central Time (US & Canada),[{'to': 'lax'}]
5.6925E+17,positive,0.6775,,0,Virgin America,,rtw4,,0,virginamerica thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now seriously,,21/02/2015 13:41,"Natick, MA, USA",Central Time (US & Canada),[{'to': 'boston'}]
5.69237E+17,negative,1,Customer Service Issue,0.6968,Virgin America,,NoelArtiles,,0,virginamerica can’t access your website from safari on iphone 6 seems to work on mac and ipad need iphone to add passbook,"[0.0, 0.0]",21/02/2015 12:48,"Austin, TX",Central Time (US & Canada),[{'to': 'add'}]
5.69222E+17,positive,0.6522,,,Virgin America,,carlos89178,,0,virginamerica when are you putting some great deals from pdx to las or from las to pdx show me your love ,,21/02/2015 11:49,,,"[{'from': 'pdx'}, {'from': 'pdx', 'to': 'las'}, {'from': 'las'}, {'from': 'las', 'to': 'pdx'}]"
5.69221E+17,negative,1,Can't Tell,0.6526,Virgin America,,shounshounette,,0,virginamerica  how are you gonna have a deal from dallas to dc but no deal from dc to dallas sad,,21/02/2015 11:44,,,"[{'from': 'dallas'}, {'from': 'dallas'}, {'to': 'dallas'}]"
5.69201E+17,negative,0.6489,Late Flight,0.6489,Virgin America,,stephenasilverm,,0,virginamerica what is the reason  for the delay of the departure of vx 413 from jfk this afternoon,,21/02/2015 10:22,,,[{'from': 'jfk'}]
5.69199E+17,negative,0.6786,Cancelled Flight,0.6786,Virgin America,,mrl6626,,0,virginamerica is todays flight from palm springs ca to jfk in ny cancelled flightled,,21/02/2015 10:15,,Arizona,"[{'from': 'palm springs'}, {'to': 'jfk'}]"
5.69198E+17,neutral,1,,,Virgin America,,jeredscott,,0,virginamerica any updates on flight 413 from jfk  to  lax,,21/02/2015 10:11,"downtown, CA",Pacific Time (US & Canada),"[{'from': 'jfk'}, {'from': 'jfk', 'to': 'lax'}]"
5.69182E+17,negative,0.6473,Lost Luggage,0.3341,Virgin America,,RedSoxGirl1976,,0,virginamerica were on flight 910 vegas to boston today checked in online but our bag count didnt register can i fix that somehow,,21/02/2015 09:10,Somewhere outside of Fenway,Eastern Time (US & Canada),[{'to': 'boston'}]
5.69111E+17,positive,1,,,Virgin America,,_LisaCap,,0,virginamerica love the 90s music blasting at gate in boston while waiting for flight to sanfrancisco only if i could get an iced coffee,,21/02/2015 04:25,"Charlestown, MA",,[{'to': 'boston'}]
5.69022E+17,negative,1,Damaged Luggage,1,Virgin America,,khartline,,0,virginamerica luggage was severely dentedmissing wheel coming off baggage claim in san luggage agent miranda i think wasnt any help,,20/02/2015 22:34,Las Vegas,Pacific Time (US & Canada),[{'to': 'san'}]
5.69018E+17,neutral,0.6598,,,Virgin America,,woawABQ,,0,virginamerica if youd love to see more girls be inspired to become pilots rt our free woaw event march 28 at abq ,,20/02/2015 22:18,"Albuquerque, NM",,[{'to': 'abq'}]
5.68977E+17,neutral,1,,,Virgin America,,OriginalTuna,,0,virginamerica any plans to start flying direct from dal to las,,20/02/2015 19:36,Texas,Central Time (US & Canada),"[{'from': 'dal'}, {'from': 'dal', 'to': 'las'}]"
5.68929E+17,negative,1,Customer Service Issue,0.6525,Virgin America,,insideout,,0,virginamerica boo for a not refunding a seat upgrade fee i did not want to buy in the first place,,20/02/2015 16:22,,Central Time (US & Canada),[{'to': 'buy'}]
5.6889E+17,positive,0.6776,,,Virgin America,,MaverickGamersX,,0,virginamerica we have a hot female pilot sweet dca to sfo ,,20/02/2015 13:48,Follow/Retweet for giveaways!,,"[{'from': 'dca', 'to': 'sfo'}]"
5.6889E+17,neutral,1,,,Virgin America,,LizaUtter,,0,👍👍✈️✈️💗 when are you guys going to start flying to paris virginamerica lizautter youre welcome”,,20/02/2015 13:48,"Malibu, CA",Pacific Time (US & Canada),[{'to': 'paris'}]
5.68854E+17,negative,1,Can't Tell,0.6421,Virgin America,,Yorkshire_D,,0,virginamerica virginatlantic i have just checked in flight to sfo from lax amp been told as atlantic flying club gold i get no benefits,,20/02/2015 11:24,,,"[{'to': 'sfo'}, {'from': 'lax'}]"
5.68812E+17,negative,1,Lost Luggage,1,Virgin America,,snellbell,,1,virginamerica lost my luggage 4 days ago on flight vx 112 from lax to iad amp im calling every day no responseplease give me back my stuff,,20/02/2015 08:38,,Quito,"[{'from': 'lax'}, {'from': 'lax', 'to': 'iad'}]"
5.68662E+17,negative,1,Flight Booking Problems,0.6841,Virgin America,,davidhfe,,0,virginamerica wtf is happening in pdx late flight march such that one way from sfo is 550,,19/02/2015 22:44,"San Francisco, CA",Pacific Time (US & Canada),"[{'to': 'pdx'}, {'from': 'sfo'}]"
5.68631E+17,neutral,1,,,Virgin America,,SSal,,0,virginamerica please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am need it returned call 9143290185,,19/02/2015 20:39,"Dutchess County, NY",Eastern Time (US & Canada),"[{'from': 'jfk'}, {'from': 'jfk', 'to': 'sfo'}]"
5.68609E+17,negative,1,Lost Luggage,1,Virgin America,,j_payton,,0,virginamerica my luggage is gone ive filed my paperwork promised a callemail still no resolution or response from central luggage,,19/02/2015 19:10,San Francisco,Quito,[{'from': 'central'}]
5.68603E+17,positive,1,,,Virgin America,,SuuperG,,0,virginamerica thanks for the lovely soft views travel san to sfo ,,19/02/2015 18:48,Wandering So-Cal-ian,Pacific Time (US & Canada),"[{'from': 'san', 'to': 'sfo'}]"
5.68554E+17,positive,1,,,Virgin America,,SigmaRue,,0,virginamerica i adore you and am so looking forward to my flight to austin in two weeks,,19/02/2015 15:31,"Portland, OR",Pacific Time (US & Canada),[{'to': 'austin'}]
5.68518E+17,negative,0.7223,longlines,0.7223,Virgin America,,c_crubin,,0,"virginamerica
wjere is our luggage so slow at lax",,19/02/2015 13:08,,London,[{'to': 'lax'}]
5.68496E+17,neutral,1,,,Virgin America,,LondonBrushCo,,0,virginamerica can you help left my blazer in kooples jacket bag at 3rd row second seat from right gate 36 t3 lax flight to sfo,,19/02/2015 11:42,Global,Pacific Time (US & Canada),[{'to': 'sfo'}]
5.6849E+17,positive,1,,,Virgin America,,beasharif,,0,virginamerica love you guys but pls get some direct routes las to aus,,19/02/2015 11:20,The World,Pacific Time (US & Canada),"[{'from': 'las', 'to': 'aus'}]"
5.68477E+17,neutral,0.6696,,,Virgin America,,CuteMonsterDad,,0,virginamerica digging the swanky pink mood lighting during the flight from nyc to sfo  just needs a cabaret singer  think about it,,19/02/2015 10:25,3rd Planet from the Sun,Central Time (US & Canada),[{'to': 'sfo'}]
5.6847E+17,negative,0.6756,Can't Tell,0.6756,Virgin America,,danteusa1,,0,"virginamerica i have 2d and 3d embossed badges and patches superior to the ones you are currently using 
",,19/02/2015 09:59,,,[{'from': 'superior'}]
5.68464E+17,negative,1,Bad Flight,0.6899,Virgin America,,wmrrock,,0,virginamerica on vx399 from jfk to la  dirty plane  not up to your standards,,19/02/2015 09:35,CT,Eastern Time (US & Canada),"[{'from': 'jfk'}, {'from': 'jfk'}]"
5.68463E+17,negative,1,Bad Flight,1,Virgin America,,wmrrock,,0,virginamerica on flight vx399 headed to la from jfk  dirtiest va plane i have ever been on sad for a great airline,"[0.0, 0.0]",19/02/2015 09:32,CT,Eastern Time (US & Canada),[{'from': 'jfk'}]
5.68456E+17,negative,1,Customer Service Issue,1,Virgin America,,mightymeesh,,0,virginamerica currently in minute 10 of being on hold with cust service do i need to do anything to add a lap child to my reservation,,19/02/2015 09:05,San Francisco,,[{'to': 'add'}]
5.68451E+17,positive,0.6395,,,Virgin America,,EricLMitchell,,0,virginamerica  flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys,,19/02/2015 08:46,San Francisco,Pacific Time (US & Canada),"[{'from': 'sfo'}, {'from': 'sfo', 'to': 'san'}]"
5.68382E+17,neutral,0.6811,,,Virgin America,,stevengcpa,,0,virginamerica a brilliant brisk am in boston in cue for vx363 ,,19/02/2015 04:10,California,Pacific Time (US & Canada),[{'to': 'boston'}]
5.68304E+17,positive,0.6724,,,Virgin America,,_raulll,,0,virginamerica omg omg😍😍 nonstop dallas to austin on virgin✨😱✈️,,18/02/2015 22:58,"mckinney, tx",,"[{'from': 'dallas', 'to': 'austin'}]"
5.68205E+17,positive,1,,,Virgin America,,eganist,,0,virginamerica thanks for that been needing a way to make those austin trips from dca and now youve come through,,18/02/2015 16:26,Washington D.C.,Eastern Time (US & Canada),[{'from': 'dca'}]
5.68203E+17,neutral,1,,,Virgin America,,pointsguy,,3,"virginamerica announced new route to austin withfares from 39way 
",,18/02/2015 16:19,United States,Central Time (US & Canada),[{'to': 'austin'}]
5.68104E+17,negative,0.6651,Flight Booking Problems,0.3413,Virgin America,,onewil,,0,virginamerica sad to learn you no longer fly sfo  to  phl hope it returns,"[0.0, 0.0]",18/02/2015 09:46,"San Francisco, CA",Pacific Time (US & Canada),"[{'from': 'sfo', 'to': 'phl'}]"
5.681E+17,neutral,1,,,Virgin America,,sporch62,,0,virginamerica now when will we see virginamerica come to philadelphia phl,,18/02/2015 09:29,,,[{'to': 'philadelphia'}]
5.68088E+17,neutral,1,,,Virgin America,,AlMehairiAUH,,0,virginamerica to start 5xweekly a319 flights from to dallas dallaslovefield austin on 28apr avgeek,,18/02/2015 08:43,Abu Dhabi,Abu Dhabi,[{'to': 'dallas'}]
5.68086E+17,neutral,0.6632,,,Virgin America,,AwsmSpaceMonkey,,0,virginamerica nice to see you expanding in texas but dont forget about us here in sandiego i would love to see more flights out of here,,18/02/2015 08:34,"San Marcos, CA",Pacific Time (US & Canada),[{'from': 'nice'}]
5.68079E+17,negative,1,Bad Flight,0.6326,Virgin America,,MarcoFlavioM,,0,virginamerica very poor experience first computer problem now seat malfunction stuck missing meeting in san diego,,18/02/2015 08:07,USA,Pacific Time (US & Canada),[{'to': 'san diego'}]
5.68062E+17,neutral,1,,,Virgin America,,sanjosedr,,0,virginamerica i miss the nerdbird in san jose,,18/02/2015 06:58,"San Jose, California
",Arizona,[{'to': 'san jose'}]
5.68059E+17,positive,1,,,Virgin America,,lakebrahlands,,0,virginamerica ​ is flying from love to austin now that is most excellent news,,18/02/2015 06:45,"Zip City aka Dallas, TX ",Central Time (US & Canada),[{'to': 'austin'}]
5.68053E+17,neutral,0.6202,,0,Virgin America,,steve97070,,0,virginamerica please add more frequency to pdx portland,,18/02/2015 06:23,,,[{'to': 'pdx'}]
5.67972E+17,negative,0.6703,Bad Flight,0.6703,Virgin America,,total_janarchy,,0,virginamerica thanks for making my flight from lax to jfk a nightmare by forcing me to check my carry on bag at the gate 1,,18/02/2015 00:59,,Eastern Time (US & Canada),"[{'from': 'lax'}, {'from': 'lax', 'to': 'jfk'}]"
5.67899E+17,neutral,1,,,Virgin America,,helenhoppock,,0,virginamerica does virgin america fly direct from seattle to nyc or boston,,17/02/2015 20:12,,,"[{'from': 'seattle'}, {'from': 'seattle'}]"
5.6785E+17,negative,1,Late Flight,1,Virgin America,,lindsowesto,,0,virginamerica why is it taking 12 years to fly home to dallas get your shit together,,17/02/2015 16:54,Texas,Central America,[{'to': 'dallas'}]
5.67845E+17,neutral,0.6198,,,Virgin America,,killawattannie,,0,virginamerica please come to minneapolis st paul,,17/02/2015 16:37,,Mountain Time (US & Canada),[{'to': 'minneapolis'}]
5.67787E+17,negative,1,Cancelled Flight,0.6458,Virgin America,,RyScanlon,,0,virginamerica while other airlines werent cancelled flighting flights into bos and helping their customers get home virgin was saying good luck,,17/02/2015 12:44,,Atlantic Time (Canada),[{'to': 'bos'}]
5.67743E+17,positive,1,,,Virgin America,,ryan_kravontka,,0,virginamerica just got on the 1pm in newark home to la your folks at ewr are incredible letsgohome,,17/02/2015 09:49,"Los Angeles, CA",Tijuana,"[{'to': 'newark'}, {'to': 'ewr'}]"
5.67727E+17,positive,1,,,Virgin America,,BBahreman,,4,virginamerica flying lax to sfo and after looking at the awesome movie lineup i actually wish i was on a long haul,,17/02/2015 08:48,Living in a Gangsters Paradise,Pacific Time (US & Canada),"[{'from': 'lax', 'to': 'sfo'}]"
5.70306E+17,neutral,0.645,,0,United,,karenmcgregor86,,0,united even on international flight glasgow to the us then what about orlando to newark all 90 mins,,24/02/2015 11:33,"Kilmarnock, now Edinburgh. ",Edinburgh,"[{'from': 'orlando', 'to': 'newark'}]"
5.70296E+17,negative,0.6526,Can't Tell,0.6526,United,,WorstThingsBot,,0,united highbuddyyy that totally sucks my cousin worked at phl said united,,24/02/2015 10:54,,,[{'to': 'phl'}]
5.70291E+17,neutral,1,,,United,,nydia376,,0,united i lost a voucher that i was given in miami aeroport on jan 26 i did not use it,,24/02/2015 10:37,USA,,[{'to': 'miami'}]
5.70286E+17,neutral,0.6776,,0,United,,BK_TheBri,,0,united have clients with an 11 hr layover at iah during the day will they have to claim amp recheck luggage or will it be taken care of,,24/02/2015 10:14,"Portland, OR",,[{'to': 'iah'}]
5.70285E+17,negative,1,Flight Attendant Complaints,0.691,United,,fitztango,,0,united iah to charlotte baggage claim rep latrice h customerservice non existent ignored customer then inappropriately touched customer,,24/02/2015 10:11,"Houston, TX",,"[{'from': 'iah', 'to': 'charlotte'}]"
5.70272E+17,neutral,1,,,United,,BocheBillions,,0,united 6533 ord to dca,,24/02/2015 09:21,,Central Time (US & Canada),"[{'from': 'ord', 'to': 'dca'}]"
5.70271E+17,neutral,1,,,United,,kevintgarner,,0,united cancelled flighted our flight didnt rebook us on added flight now have to drive from a denver to kcthanks,,24/02/2015 09:17,"Kansas City, MO",Central Time (US & Canada),[{'from': 'denver'}]
5.70271E+17,negative,0.66,Flight Booking Problems,0.3503,United,,discobiscuit63,,0,united our travel booked thru united group dept okc ticket agent less than willing to help with our connection in lax,,24/02/2015 09:15,,Central Time (US & Canada),[{'to': 'lax'}]
5.70265E+17,negative,1,Flight Booking Problems,0.3535,United,,BillBra95467934,,0,united another fail for the united ticket agents in okc less than helpful and could care less about our problems american here we come,,24/02/2015 08:50,,,[{'to': 'okc'}]
5.7026E+17,negative,0.6957,Lost Luggage,0.6957,United,,jakepoznak,,0,united they helped me at the baggage service desk  said bc tsa screening was down in fll not all bags made it but bag will be in ewr  12,,24/02/2015 08:31,,Eastern Time (US & Canada),"[{'to': 'fll'}, {'to': 'ewr'}]"
5.70259E+17,positive,1,,,United,,cehertz,,0,united for the record rozana at newark was lovely and helpful choosekind,,24/02/2015 08:29,btv,,[{'to': 'newark'}]
5.70254E+17,negative,1,Late Flight,0.6548,United,,guichaves1989,,0,united i tried but no one was available in bogota and everyone was rude in houston i was stuck for 35 hours because of you guys,,24/02/2015 08:10,,Central Time (US & Canada),[{'to': 'houston'}]
5.70253E+17,negative,1,Bad Flight,1,United,,PFlandersdc,,0,united worst2unitedflightsever ua 236 las to iad 224 mechanical problems again  took off  had to land for fix  delayed again wtfodds,,24/02/2015 08:04,,,"[{'from': 'las', 'to': 'iad'}]"
5.70253E+17,positive,1,,,United,,jakepoznak,,0,united despite my bag not making it to newark good informative email tracking updates help,,24/02/2015 08:04,,Eastern Time (US & Canada),[{'to': 'newark'}]
5.70252E+17,negative,1,Late Flight,1,United,,PFlandersdc,,0,united worst2unitedflightsever ua1429 iad to las 219 mechanical problems  switched aircraft delayed 35 hours,,24/02/2015 08:01,,,"[{'from': 'iad', 'to': 'las'}]"
5.7025E+17,negative,1,longlines,0.6951,United,,JohnJReid,,0,united on 768 to logan  boarding gong show due to lax carry on enforcement bins full of coats  no room for bags u need a better system,,24/02/2015 07:52,"Seaside, California",Pacific Time (US & Canada),"[{'to': 'logan'}, {'to': 'lax'}]"
5.70249E+17,negative,1,Customer Service Issue,0.6536,United,,Maxxisonfire,,0,united blackmailed me into paying £130 extra or having my return ticket nullified in san francisco airport terrible service from rep scam,,24/02/2015 07:49,,,"[{'to': 'san francisco'}, {'from': 'rep'}]"
5.70243E+17,neutral,0.6891,,0,United,,christinphillip,,0,united so do i need to book two one ways in order for her to fly as an unaccompanied minor,,24/02/2015 07:26,"Princeton, NJ",Central Time (US & Canada),[{'from': 'her'}]
5.70235E+17,negative,0.6501,Customer Service Issue,0.3265,United,,christinphillip,,0,united not sure what you are talking about she is going on nonstop flights sna to sfo and then sfo to ewr,,24/02/2015 06:52,"Princeton, NJ",Central Time (US & Canada),"[{'from': 'sna', 'to': 'sfo'}, {'from': 'sfo', 'to': 'ewr'}]"
5.70227E+17,neutral,1,,,United,,cehertz,,0,united yes please trying to get to pop in newark now,,24/02/2015 06:22,btv,,"[{'to': 'pop'}, {'to': 'newark'}]"
5.70211E+17,negative,0.6392,Late Flight,0.3402,United,,bcarlsrud,,0,united yep thats correct i got an email at 1230 am that the flight was cancelled flightled doesnt matter now flight into atl is delayed thx,,24/02/2015 05:17,,Central Time (US & Canada),[{'to': 'atl'}]
5.7021E+17,negative,0.6535,Late Flight,0.3663,United,,dkesten71,,0,united 1k and had problem getting out of fll to iah  sent dm to you about making my connection  please let me know,,24/02/2015 05:14,,,"[{'from': 'fll', 'to': 'iah'}]"
5.70189E+17,negative,1,Customer Service Issue,1,United,,Evan_Flay,,0,united service so far has been horrid we wanted to end the trip on a high note guess thats not an option,"[29.987463, -90.25860012]",24/02/2015 03:49,Seattle,Pacific Time (US & Canada),[{'to': 'end'}]
5.70189E+17,negative,1,Bad Flight,1,United,,Evan_Flay,,0,united booked a flight home over 7 months ago and requested seats together for my fiancée and i we got 2 middle seats unacceptable the,"[29.98746669, -90.25862007]",24/02/2015 03:49,Seattle,Pacific Time (US & Canada),[{'from': 'got'}]
5.70184E+17,positive,1,,,United,,RichHays,,0,united kudos for not cancelled flightling flights from dfw this morning   united usually first to panic,,24/02/2015 03:29,,Eastern Time (US & Canada),[{'from': 'dfw'}]
5.70182E+17,neutral,1,,,United,,msalvatore15,,0,united is flight 587 from dfw to ord currently ontime i see an advisory that dfw may be affected by weather,,24/02/2015 03:22,,Eastern Time (US & Canada),"[{'from': 'dfw'}, {'from': 'dfw', 'to': 'ord'}]"
5.70173E+17,neutral,1,,,United,,JesseLitsch,,0,united so if im flying 1st class just one leg to chicago but not on my long flight to china am i still able to use the lounge in chicago,,24/02/2015 02:46,,,"[{'to': 'chicago'}, {'to': 'chicago'}]"
